word,occurence
inne…,2.0
.@Nataliadipp:,4.0
"""Quin",4.0
sentit,29.0
tindria,4.0
desobeir,17.0
cas,67.0
Montse,4.0
Venturós?,4.0
Hem,35.0
quan,194.0
sigui,74.0
"útil""",9.0
https://t.co/3…,5.0
'Molta,1.0
sort,16.0
molts,42.0
"encerts,",1.0
"directora',",1.0
article,44.0
@CarlesCapde,1.0
https://t.co/wdPJmRagl5,1.0
https://t.co/lEZM2AUJCx,1.0
De,83.0
'descobrir',1.0
Che,2.0
Guevara,1.0
tenir,79.0
filla,5.0
pro-LGTBI,1.0
:,25.0
10,30.0
coses,72.0
(potser),5.0
saps,26.0
Raúl,1.0
Castro,2.0
https://t.co/9wwZcTW…,1.0
@Jaumeasens:,6.0
Prenem,3.0
mesures,21.0
agressions,11.0
feixistes,9.0
d’ahir,6.0
quedin,7.0
impunes.,3.0
No,618.0
volem,83.0
"odi,",3.0
ni,323.0
BCN,65.0
enlloc!,4.0
https://t.co/1c0…,3.0
@Bernat_Castro:,10.0
«la,6.0
Guerra,6.0
fue,13.0
izquierda,6.0
trauma,4.0
se,170.0
han,224.0
recuperado.,4.0
Provocaron,4.0
"guerra,",6.0
perdieron,4.0
quie…,4.0
UNGA,1.0
https://t.co/w8hTFjarOt,1.0
resumen,1.0
elecciones,10.0
andaluzas:,1.0
https://t.co/C3f5MZ1DPj,1.0
@AraBassas:,1.0
L'analisi,2.0
d'@antonibassas:,2.0
'Lamentable,1.0
baralla,2.0
"twitter'
https://t.co/rfbnuWxrVW",1.0
https://t.co/ijP47Lxeqw,1.0
@elmundotoday:,1.0
Detienen,1.0
terrorista,4.0
pretendía,1.0
acabar,42.0
con,127.0
Gobierno,10.0
23,5.0
tuits,20.0
favs:,1.0
https://t.co/Rtf2ngNY6k,1.0
@martapascal:,4.0
Prou,34.0
mentides.,5.0
@Pdemocratacat,58.0
serà,81.0
sempre,94.0
costat,37.0
@KRLS,302.0
https://t.co/gBzmNnfL31,2.0
@AlbanoDante76:,43.0
Queréis,3.0
#MásManadaAR?,3.0
Aquí,47.0
vemos,4.0
Albert,9.0
Rivera.,3.0
A,236.0
lado,3.0
"""presidente",4.0
"Tabarnia"".",3.0
Del,10.0
"otro,",3.0
Arcadi,3.0
"Espada,",3.0
"""se…",3.0
Parlem,3.0
mica,54.0
clar,59.0
s'amaga,2.0
darrere,13.0
Fundació,7.0
Príncep,3.0
Girona?,2.0
https://t.co/Kg6so0bDT0,2.0
@3sJoan:,4.0
Perdó?,4.0
Ens,57.0
pren,8.0
imbècils?,4.0
https://t.co/frMxbo59mH,4.0
@La_Directa:,15.0
#ÚLTIMAHORA,5.0
|,48.0
Comença,14.0
desallotjament,7.0
@Banc_Expropiat,2.0
Una,105.0
quinzena,2.0
furgonetes,1.0
BRIMO,1.0
envolten,1.0
edifici.,1.0
@joanmiro10:,2.0
En,158.0
Màrius,4.0
Carol,2.0
vol,128.0
imaginar,5.0
va,594.0
néixer,4.0
l',6.0
Avda,2.0
Pearson,2.0
Meridiana,2.0
@ERCmunicipal:,1.0
📩,13.0
municipalisme,1.0
d'@Esquerra_ERC,17.0
impulsat,2.0
5,59.0
grups,20.0
d'esmenes,1.0
als,266.0
#PGE2017,2.0
millorar,11.0
vida,15.0
benestar,3.0
ci…,2.0
@jordiborras:,20.0
Aquest,78.0
“infiltrats,1.0
d’extrema,2.0
dreta”,1.0
deia,21.0
@InesArrimadas?,2.0
https://t.co/bXn95WcgvK,1.0
@poblescatalunya:,4.0
Els,208.0
polítics,53.0
catalans,45.0
haurien,20.0
veure,127.0
aquest,189.0
vídeo,43.0
CADA,5.0
DIA,4.0
l'hora,29.0
d'esmorzar...,4.0
dia!!!,4.0
"
Vam",4.0
votar,76.0
#independèn…,4.0
@Joanlluislluis:,5.0
Dels,3.0
4,57.0
francesos,2.0
"estimats,",1.0
3,67.0
Front,1.0
National,1.0
l'altre,2.0
Manuel,35.0
Valls.,3.0
"
En",2.0
política,66.0
l'atzar,1.0
e…,50.0
@Candeliano:,11.0
"¿,Recordáis",6.0
contundente,6.0
crítica,18.0
@socialistes_cat,15.0
discurso,7.0
Felipe,18.0
"VI,",7.0
justificando,6.0
represión,6.0
#1O,11.0
"""a…",6.0
@teddytum:,1.0
@enricvd,16.0
Ha,33.0
fet,170.0
tira,6.0
pet,4.0
tu,122.0
50mil,1.0
articles,3.0
vomitant,1.0
rancún…,1.0
@martarovira:,57.0
"Avui,",19.0
"mai,",11.0
present,2.0
vivència.,1.0
"Oriol,",4.0
tornarem!,1.0
#11S2018,1.0
"#Llibertatpresospolítics
https:/…",1.0
pensava,14.0
deien,7.0
obra,8.0
teatre,6.0
sense,141.0
importància.,1.0
I,284.0
avui,157.0
entren,2.0
escena,2.0
desplegament,4.0
policial…,1.0
155,56.0
genera,10.0
gran,85.0
"consens,",1.0
pau,17.0
"concòrdia,",1.0
oi?,20.0
Per,249.0
això,206.0
Sr,2.0
Collboni,10.0
té,187.0
tan,88.0
clar!,2.0
https://t.co/C4FwFlxabq,1.0
@CarlesMundo:,49.0
‘El,11.0
inevitable’:,1.0
“Hem,2.0
convertir,6.0
inevitable,2.0
ara,154.0
impossible.,5.0
volen,36.0
80…,1.0
@QuimTorraiPla:,14.0
@dolorsbassac,10.0
llibertat,88.0
seria,35.0
"""veure",1.0
