"userid","user_display_name","user_screen_name","user_reported_location","user_profile_description","user_profile_url","follower_count","following_count","account_creation_date","account_language"
"qHRFFLuggm2ZkgCtpQ5suTId9iHKHlKk1aVQTcs=","qHRFFLuggm2ZkgCtpQ5suTId9iHKHlKk1aVQTcs=","qHRFFLuggm2ZkgCtpQ5suTId9iHKHlKk1aVQTcs=","","Segador.","","14","93","2018-12-11","en"
"Gdt5OITRy5cNlOt2x4bga+qOvmkVa96TKC08TDG1PAo=","Gdt5OITRy5cNlOt2x4bga+qOvmkVa96TKC08TDG1PAo=","Gdt5OITRy5cNlOt2x4bga+qOvmkVa96TKC08TDG1PAo=","","Manresa, collita del 58'.","","25","37","2018-12-11","en"
"+6DrOskxG9npxj2tRxz+bu84nhcuECQMYxDnCbn9fIg=","+6DrOskxG9npxj2tRxz+bu84nhcuECQMYxDnCbn9fIg=","+6DrOskxG9npxj2tRxz+bu84nhcuECQMYxDnCbn9fIg=","","","","0","0","2018-12-12","en"
"a2WIxDI4NU3AGD4EXxbmKGls7Q0uhcp5HTKcm8TFV9I=","a2WIxDI4NU3AGD4EXxbmKGls7Q0uhcp5HTKcm8TFV9I=","a2WIxDI4NU3AGD4EXxbmKGls7Q0uhcp5HTKcm8TFV9I=","","Grup impulsor de la Crida Nacional per la República a Tarragona. Construïm junts un nou espai polític que faci la República. Uneix-te a la Crida","https://t.co/UfhLJHL1yk","64","212","2018-10-30","en"
"tGEdFfJ4+CDNtGn5CZHAZybPWUvU7EwSxE+yUomqmro=","tGEdFfJ4+CDNtGn5CZHAZybPWUvU7EwSxE+yUomqmro=","tGEdFfJ4+CDNtGn5CZHAZybPWUvU7EwSxE+yUomqmro=","","","","0","0","2018-12-12","en"
"oDsEjOL4+D0hNUah6FiixMRr40kt3UkMwpAcXakfFY=","oDsEjOL4+D0hNUah6FiixMRr40kt3UkMwpAcXakfFY=","oDsEjOL4+D0hNUah6FiixMRr40kt3UkMwpAcXakfFY=","","Faig coses a l'empresa familiar, forner i militant.","","28","77","2018-12-11","en"
"+e6FPXtBkkUeym1WEjTHOAPt27yWbFQ7z3ESXrc+kw=","+e6FPXtBkkUeym1WEjTHOAPt27yWbFQ7z3ESXrc+kw=","+e6FPXtBkkUeym1WEjTHOAPt27yWbFQ7z3ESXrc+kw=","","","","0","0","2018-12-12","en"
"SCT9YgEMtiYTZ2X1ZUtoK0GM9HNjcfWSSwRMB0NC44=","SCT9YgEMtiYTZ2X1ZUtoK0GM9HNjcfWSSwRMB0NC44=","SCT9YgEMtiYTZ2X1ZUtoK0GM9HNjcfWSSwRMB0NC44=","","","","1","12","2016-08-29","ru"
"Degnsf4Fogx3bPb93GXzUBbT37HejFbRDt8QMQI2bvg=","Degnsf4Fogx3bPb93GXzUBbT37HejFbRDt8QMQI2bvg=","Degnsf4Fogx3bPb93GXzUBbT37HejFbRDt8QMQI2bvg=","Barcelona, Spain","Republicà d'esquerres","","0","0","2018-12-12","en"
"LRfadByNZCzyMmQNqvHTVK7fkndArqrwMxjjRrN2Zg=","LRfadByNZCzyMmQNqvHTVK7fkndArqrwMxjjRrN2Zg=","LRfadByNZCzyMmQNqvHTVK7fkndArqrwMxjjRrN2Zg=","Catalan Republic",".","","18","67","2018-12-11","en"
