"userid","user_display_name","user_screen_name","user_reported_location","user_profile_description","user_profile_url","follower_count","following_count","account_creation_date","account_language"
"+ulahAg1YMftfQ5Cj+7EZRZ9lN1HPTz9zkO4S7hPS4M=","+ulahAg1YMftfQ5Cj+7EZRZ9lN1HPTz9zkO4S7hPS4M=","+ulahAg1YMftfQ5Cj+7EZRZ9lN1HPTz9zkO4S7hPS4M=","","","","0","1","2018-12-12","en"
"+7Wzc+TyIue49XS6HPY1U9hCX3N9n6V33vBwlAxsuB4=","+7Wzc+TyIue49XS6HPY1U9hCX3N9n6V33vBwlAxsuB4=","+7Wzc+TyIue49XS6HPY1U9hCX3N9n6V33vBwlAxsuB4=","","","","0","0","2018-12-12","en"
"1MTY3mXtZa+pDH3Kp6aJASOckSsPXDVwJAg0pO1EBlU=","1MTY3mXtZa+pDH3Kp6aJASOckSsPXDVwJAg0pO1EBlU=","1MTY3mXtZa+pDH3Kp6aJASOckSsPXDVwJAg0pO1EBlU=","","","","0","0","2018-12-12","en"
"DzTdmR4OEvDu58oiOipZw7PZyRLGhlE44imZVtUqXI=","DzTdmR4OEvDu58oiOipZw7PZyRLGhlE44imZVtUqXI=","DzTdmR4OEvDu58oiOipZw7PZyRLGhlE44imZVtUqXI=","","","","0","0","2018-12-12","en"
"5EPxtKLEr6icl0+twobmJKHxAlWUYXZkaB3qlMbY=","5EPxtKLEr6icl0+twobmJKHxAlWUYXZkaB3qlMbY=","5EPxtKLEr6icl0+twobmJKHxAlWUYXZkaB3qlMbY=","","","","0","0","2018-12-12","en"
"kMRTBFD+GojvCgtvSsVfjpkcpBnr6cD6kdxRYpKIth0=","kMRTBFD+GojvCgtvSsVfjpkcpBnr6cD6kdxRYpKIth0=","kMRTBFD+GojvCgtvSsVfjpkcpBnr6cD6kdxRYpKIth0=","","","","10","59","2018-12-03","en"
"UEZ2PnTsgXyl0wgeoUcNLAyKOIXUkuMWn1m4Ss+tfM=","UEZ2PnTsgXyl0wgeoUcNLAyKOIXUkuMWn1m4Ss+tfM=","UEZ2PnTsgXyl0wgeoUcNLAyKOIXUkuMWn1m4Ss+tfM=","Mollet del Vallès, Espanya","","","5","44","2016-12-15","en"
"oKMESxdNk0ipG+bgn0JM7GTfsBshwG42LZ35hWVPms=","oKMESxdNk0ipG+bgn0JM7GTfsBshwG42LZ35hWVPms=","oKMESxdNk0ipG+bgn0JM7GTfsBshwG42LZ35hWVPms=","","","","0","0","2018-12-12","en"
"GiK3Z2NrvAFRDAByPyjZb7jVslEXQI+tADsz1cyq70=","GiK3Z2NrvAFRDAByPyjZb7jVslEXQI+tADsz1cyq70=","GiK3Z2NrvAFRDAByPyjZb7jVslEXQI+tADsz1cyq70=","","","","0","0","2018-12-12","en"
"ZoinjeV24CBpix6vu3o5GA5a0HY9+1UlxfTk0vFsAes=","ZoinjeV24CBpix6vu3o5GA5a0HY9+1UlxfTk0vFsAes=","ZoinjeV24CBpix6vu3o5GA5a0HY9+1UlxfTk0vFsAes=","Barcelona, Catalunya","Volem fer efectiu el mandat del 1 de Octubre. Exigim la llibertat del presos polítics i exiliats.","","2156","2","2012-03-02","ca"
"+MDKcRIqPyw7X+QpITKl8SYQGgHhhKx5WFfeqqtT9E4=","+MDKcRIqPyw7X+QpITKl8SYQGgHhhKx5WFfeqqtT9E4=","+MDKcRIqPyw7X+QpITKl8SYQGgHhhKx5WFfeqqtT9E4=","","","","37","103","2018-12-12","en"
"MiS4M+qi5aXsgFwp8Bu+8jx3FdyizOo1B6ur+dqWQcc=","MiS4M+qi5aXsgFwp8Bu+8jx3FdyizOo1B6ur+dqWQcc=","MiS4M+qi5aXsgFwp8Bu+8jx3FdyizOo1B6ur+dqWQcc=","","Sóc un nefelibata.","","18","106","2018-12-11","en"
"UwcQfhqhq0DngbkGqZ4Wqn45NidomKyWQqQOqphG4=","UwcQfhqhq0DngbkGqZ4Wqn45NidomKyWQqQOqphG4=","UwcQfhqhq0DngbkGqZ4Wqn45NidomKyWQqQOqphG4=","","","","0","0","2018-12-12","en"
"p4lSYC1bsHNmsOu8AcdlR33K90QxEspa79HBjycdks8=","p4lSYC1bsHNmsOu8AcdlR33K90QxEspa79HBjycdks8=","p4lSYC1bsHNmsOu8AcdlR33K90QxEspa79HBjycdks8=","","","","0","0","2018-12-12","en"
"idyZnUfuHIXEQkEsgVlT6rcV5hSlDTFtMNDlLPQsFqE=","idyZnUfuHIXEQkEsgVlT6rcV5hSlDTFtMNDlLPQsFqE=","idyZnUfuHIXEQkEsgVlT6rcV5hSlDTFtMNDlLPQsFqE=","","","","33","106","2018-12-12","en"
"6OPdV2fldgm8iL01JczCNkwD5ImorMknri9EHy4ArI=","6OPdV2fldgm8iL01JczCNkwD5ImorMknri9EHy4ArI=","6OPdV2fldgm8iL01JczCNkwD5ImorMknri9EHy4ArI=","","","","0","0","2018-12-12","en"
"XNAGpPOo4acgC4iXUXkTL4U89QLwOodnfDbgupF+Qk=","XNAGpPOo4acgC4iXUXkTL4U89QLwOodnfDbgupF+Qk=","XNAGpPOo4acgC4iXUXkTL4U89QLwOodnfDbgupF+Qk=","","","","0","0","2018-12-12","en"
"b8NZi0cu6CAnBaK7My4kF2iZj3YAHFIFjFPpmIak=","b8NZi0cu6CAnBaK7My4kF2iZj3YAHFIFjFPpmIak=","b8NZi0cu6CAnBaK7My4kF2iZj3YAHFIFjFPpmIak=","Lleida, Espanya","","","0","0","2018-12-11","ca"
"HiGkJ6W6iMW0k59wzjP6XGtmY8AGJ71GV15VkqAywc=","HiGkJ6W6iMW0k59wzjP6XGtmY8AGJ71GV15VkqAywc=","HiGkJ6W6iMW0k59wzjP6XGtmY8AGJ71GV15VkqAywc=","","","","31","105","2018-12-12","en"
"aTXLj4Rz8b7WA1QIWfCkxzfBCjHsWSNpzLO6fFugOeE=","aTXLj4Rz8b7WA1QIWfCkxzfBCjHsWSNpzLO6fFugOeE=","aTXLj4Rz8b7WA1QIWfCkxzfBCjHsWSNpzLO6fFugOeE=","","Grup impulsor de la Crida Nacional per la República a la ciutat de Barcelona. Adhereix-te!","https://t.co/UfhLJHL1yk","194","390","2018-10-30","en"
"mNwaZeg9PvWpQhiJGLoVG83MZDkHNOquylRnrQ6KDx4=","mNwaZeg9PvWpQhiJGLoVG83MZDkHNOquylRnrQ6KDx4=","mNwaZeg9PvWpQhiJGLoVG83MZDkHNOquylRnrQ6KDx4=","Barcelona, Catalunya","Viure és prendre partit.","","383","651","2016-05-15","en"
"JDQreUdnwCMhj3he8KdIq5SlagLsVEWDqUoupreNw=","JDQreUdnwCMhj3he8KdIq5SlagLsVEWDqUoupreNw=","JDQreUdnwCMhj3he8KdIq5SlagLsVEWDqUoupreNw=","","","","0","0","2018-12-12","en"
"8Ax38CqjyzYIynRrXk4KeaUMozPVgwSXNtEER2kdFCM=","8Ax38CqjyzYIynRrXk4KeaUMozPVgwSXNtEER2kdFCM=","8Ax38CqjyzYIynRrXk4KeaUMozPVgwSXNtEER2kdFCM=","","","","0","0","2018-12-12","en"
"OgEr3CckYbSISQ50z5cxoMZmpHfTqfWkGS+QIEOxvrk=","OgEr3CckYbSISQ50z5cxoMZmpHfTqfWkGS+QIEOxvrk=","OgEr3CckYbSISQ50z5cxoMZmpHfTqfWkGS+QIEOxvrk=","","Llibertat preses polítiques!","","263","222","2017-04-11","es"
"5gA4hZvZdRLfPSr7WIuGvcyMymZb0O12rgByz8jO3EE=","5gA4hZvZdRLfPSr7WIuGvcyMymZb0O12rgByz8jO3EE=","5gA4hZvZdRLfPSr7WIuGvcyMymZb0O12rgByz8jO3EE=","Barcelona, Spain","De Barcelona. M'encanta ballar, la cultura catalana i el cinema. Vaig veure el 2-6 en directe. Catalan Republic is not a dream.","","140","151","2018-07-12","en"
"r0o4J4AKFLCCRXI8bkSFb+WSelvu5zawCxpm7v38o1o=","r0o4J4AKFLCCRXI8bkSFb+WSelvu5zawCxpm7v38o1o=","r0o4J4AKFLCCRXI8bkSFb+WSelvu5zawCxpm7v38o1o=","","","","0","0","2018-12-12","en"
"Eaorz+14RpScuuEO1bwCBWw0sfQpxNkZyFwoi349T6s=","Eaorz+14RpScuuEO1bwCBWw0sfQpxNkZyFwoi349T6s=","Eaorz+14RpScuuEO1bwCBWw0sfQpxNkZyFwoi349T6s=","","","","29","106","2018-12-12","en"
"hc5yaOb6m318rHfJmkTxRUXktCz4ivEg5jip8F7U+lc=","hc5yaOb6m318rHfJmkTxRUXktCz4ivEg5jip8F7U+lc=","hc5yaOb6m318rHfJmkTxRUXktCz4ivEg5jip8F7U+lc=","","","","30","106","2018-12-12","en"
"yYqX4myiwN2cagwRBlx74hSuc1mxdO4pq74QQXmxlE=","yYqX4myiwN2cagwRBlx74hSuc1mxdO4pq74QQXmxlE=","yYqX4myiwN2cagwRBlx74hSuc1mxdO4pq74QQXmxlE=","","Mare i apasionada pel meu pais.","","0","0","2018-12-11","en"
"FrCdXxw+oLpp+oQNVijewgDp535rdr4oiwiWsdT6NkE=","FrCdXxw+oLpp+oQNVijewgDp535rdr4oiwiWsdT6NkE=","FrCdXxw+oLpp+oQNVijewgDp535rdr4oiwiWsdT6NkE=","","","","0","0","2018-12-12","en"
"DGQYmW5tMTMQAJ7dRfN8WuvEgmxaX+lyYL+MwUGMzNg=","DGQYmW5tMTMQAJ7dRfN8WuvEgmxaX+lyYL+MwUGMzNg=","DGQYmW5tMTMQAJ7dRfN8WuvEgmxaX+lyYL+MwUGMzNg=","","","","0","0","2018-12-12","en"
"WfDaYxDJ6zpYjDKEfxTUorohwxFYcNtg4d2XzLPcYzM=","WfDaYxDJ6zpYjDKEfxTUorohwxFYcNtg4d2XzLPcYzM=","WfDaYxDJ6zpYjDKEfxTUorohwxFYcNtg4d2XzLPcYzM=","","","","0","0","2018-12-12","en"
"WEEYoVjPb5Vk05GGLwnhJYV5oaPKf7rsNXPLLPpBAJc=","WEEYoVjPb5Vk05GGLwnhJYV5oaPKf7rsNXPLLPpBAJc=","WEEYoVjPb5Vk05GGLwnhJYV5oaPKf7rsNXPLLPpBAJc=","Barcelona, Spain","Por una tierra que valga la pena ser vivida","","44","109","2018-12-11","en"
"1cEGAfP+VQNssv8cGnPvqrEXcgJg2HLZPU36aHplSE=","1cEGAfP+VQNssv8cGnPvqrEXcgJg2HLZPU36aHplSE=","1cEGAfP+VQNssv8cGnPvqrEXcgJg2HLZPU36aHplSE=","","Barcelonina. Feminista. D'esquerres. Entre totes, tot!","","263","844","2016-10-25","es"
"cYvx4ir+VvBVq+RfkmaMeXrCojqOyYzFEB5FdIuRlc=","cYvx4ir+VvBVq+RfkmaMeXrCojqOyYzFEB5FdIuRlc=","cYvx4ir+VvBVq+RfkmaMeXrCojqOyYzFEB5FdIuRlc=","","","","0","1","2016-08-11","ru"
"6EMVe4TyG9nu9xqDTTuVsPs0Br7AoIHK9e8eAUsHT4c=","6EMVe4TyG9nu9xqDTTuVsPs0Br7AoIHK9e8eAUsHT4c=","6EMVe4TyG9nu9xqDTTuVsPs0Br7AoIHK9e8eAUsHT4c=","","","","38","91","2018-12-11","en"
"CXirZKiIwJarCOq0VOrN+WOAKAOA85LR9tROhsC0oA8=","CXirZKiIwJarCOq0VOrN+WOAKAOA85LR9tROhsC0oA8=","CXirZKiIwJarCOq0VOrN+WOAKAOA85LR9tROhsC0oA8=","","","","0","0","2018-12-12","en"
"oreTBxWxFWOjmecN2SgwfFOWkLkl4tgICEkeLDyVw8=","oreTBxWxFWOjmecN2SgwfFOWkLkl4tgICEkeLDyVw8=","oreTBxWxFWOjmecN2SgwfFOWkLkl4tgICEkeLDyVw8=","Ripoll, Espanya","De Ripoll, capital de Catalunya!","","343","452","2016-12-12","en"
"datxZQblOvH6HqtRvUWeea0NNxSyaruy8fZTkyOA=","datxZQblOvH6HqtRvUWeea0NNxSyaruy8fZTkyOA=","datxZQblOvH6HqtRvUWeea0NNxSyaruy8fZTkyOA=","","","","0","0","2018-12-12","en"
"2vsmY3nbSlMslRkkMknZbYti28OdK5Z1RqEbMdcwhI=","2vsmY3nbSlMslRkkMknZbYti28OdK5Z1RqEbMdcwhI=","2vsmY3nbSlMslRkkMknZbYti28OdK5Z1RqEbMdcwhI=","","#freedomcat #catfree #llibertat #catalanrepublic RT =RT","","15","59","2018-12-11","en"
"pUqYr8HGwGMXMG6aZLMotbd3uVtn80tMTMkRA3D6vGc=","pUqYr8HGwGMXMG6aZLMotbd3uVtn80tMTMkRA3D6vGc=","pUqYr8HGwGMXMG6aZLMotbd3uVtn80tMTMkRA3D6vGc=","","","","17","96","2018-12-11","en"
"zcjq53ah8JMLh5XvL3sNbtReAefJI5gCCPCxSLmIgpU=","zcjq53ah8JMLh5XvL3sNbtReAefJI5gCCPCxSLmIgpU=","zcjq53ah8JMLh5XvL3sNbtReAefJI5gCCPCxSLmIgpU=","Barcelona, Cataluña","Educador social. Entre todos, todo!","","553","2451","2016-01-11","es"
"BL3MWry3mDc5fsUPQOzEoln7zrpLVpHfc6akUcg7eY=","BL3MWry3mDc5fsUPQOzEoln7zrpLVpHfc6akUcg7eY=","BL3MWry3mDc5fsUPQOzEoln7zrpLVpHfc6akUcg7eY=","Barcelona, Espanya","Barcelonina d'esquerres. Vull la llibertat del meu país!","","213","454","2017-04-11","ca"
"etcr77OWXW6bvg6yCbsvNT918HPWDSBW5qLdmPsba9Q=","etcr77OWXW6bvg6yCbsvNT918HPWDSBW5qLdmPsba9Q=","etcr77OWXW6bvg6yCbsvNT918HPWDSBW5qLdmPsba9Q=","","Soci blaugrana i amant d'una terra que ha decidit ser lliure. Sóc del berguedà","","14","93","2018-12-11","en"
"Q9PVWb68Gu7UJt3CSKSOJxqEnL3AVPNrD3tHSb9ZZ74=","Q9PVWb68Gu7UJt3CSKSOJxqEnL3AVPNrD3tHSb9ZZ74=","Q9PVWb68Gu7UJt3CSKSOJxqEnL3AVPNrD3tHSb9ZZ74=","","","","31","80","2018-12-11","en"
"Ev0VHfwnqzm5CVKlM3lPQACUsdRrgfPKFn9rhFz3E=","Ev0VHfwnqzm5CVKlM3lPQACUsdRrgfPKFn9rhFz3E=","Ev0VHfwnqzm5CVKlM3lPQACUsdRrgfPKFn9rhFz3E=","","Psicologia UB. Independentista i d'esquerres.","","201","503","2018-02-08","ca"
"K8QJGknX24nNVHM+GYJEUCjhEm4vva8ikUR6vdJJhfQ=","K8QJGknX24nNVHM+GYJEUCjhEm4vva8ikUR6vdJJhfQ=","K8QJGknX24nNVHM+GYJEUCjhEm4vva8ikUR6vdJJhfQ=","","","","0","0","2018-12-12","en"
"aeIn1Nuih56vVUsV4agSV6U25W2hJkJui9yWwx3Q30=","aeIn1Nuih56vVUsV4agSV6U25W2hJkJui9yWwx3Q30=","aeIn1Nuih56vVUsV4agSV6U25W2hJkJui9yWwx3Q30=","","","","0","0","2018-12-12","en"
"dn7ih4cOZgZnV4GQIby7Jx777VbMO78iMv8ZDghRP7g=","dn7ih4cOZgZnV4GQIby7Jx777VbMO78iMv8ZDghRP7g=","dn7ih4cOZgZnV4GQIby7Jx777VbMO78iMv8ZDghRP7g=","","Si fa pudor, al ventilador!
Memes, vídeos, gifs, notícies i tota la shit política. Tens merda? Tira-la al ventilador!","https://t.co/odZDJZE4EY","815","2284","2018-11-22","en"
"qO7OiHvzVcaw2VGt0eYr+azS2uXovYiy9q5PRI3NwgU=","qO7OiHvzVcaw2VGt0eYr+azS2uXovYiy9q5PRI3NwgU=","qO7OiHvzVcaw2VGt0eYr+azS2uXovYiy9q5PRI3NwgU=","","Grup impulsor de la Crida Nacional per la República a Lleida. Construïm junts un nou espai polític que faci la República. Uneix-te a la Crida","https://t.co/UfhLJHL1yk","123","269","2018-10-30","en"
